"Country or Area","Year","Sex","Age","Source Year","Value","Value Footnotes"
"Australia","2016","Female","60 - 64","2017","576659","1"
"Australia","2016","Female","61","2017","117223","1"
"Australia","2016","Female","62","2017","115018","1"
"Australia","2016","Female","63","2017","113570","1"
"Australia","2016","Female","64","2017","109967","1"
"Australia","2016","Female","65","2017","108675","1"
"Australia","2016","Female","65 - 69","2017","528335","1"
"Australia","2016","Female","66","2017","106376","1"
"Australia","2016","Female","67","2017","102821","1"
"Australia","2016","Female","68","2017","102494","1"
"Australia","2016","Female","69","2017","107959","1"
"Australia","2016","Female","70","2017","89379","1"
"Australia","2016","Female","70 - 74","2017","402666","1"
"Australia","2016","Female","71","2017","85184","1"
"Australia","2016","Female","72","2017","82002","1"
"Australia","2016","Female","73","2017","73491","1"
"Australia","2016","Female","74","2017","72617","1"
"Australia","2016","Female","75","2017","68029","1"
"Australia","2016","Female","75 - 79","2017","312494","1"
"Australia","2016","Female","76","2017","65344","1"
"Australia","2016","Female","77","2017","62629","1"
"Australia","2016","Female","78","2017","59555","1"
"Australia","2016","Female","79","2017","56940","1"
"Australia","2016","Female","80","2017","54131","1"
"Australia","2016","Female","80 - 84","2017","237628","1"
"Australia","2016","Female","81","2017","49934","1"
"Australia","2016","Female","82","2017","46690","1"
"Australia","2016","Female","83","2017","44832","1"
"Australia","2016","Female","84","2017","42040","1"
"Australia","2016","Female","85","2017","41498","1"
"Australia","2016","Female","85 - 89","2017","174313","1"
"Australia","2016","Female","86","2017","38690","1"
"Australia","2016","Female","87","2017","34415","1"
"Australia","2016","Female","88","2017","31665","1"
"Australia","2016","Female","89","2017","28047","1"
"Australia","2016","Female","90","2017","24794","1"
"Australia","2016","Female","90 - 94","2017","88911","1"
"Australia","2016","Female","91","2017","21033","1"
"Australia","2016","Female","92","2017","17481","1"
"Australia","2016","Female","93","2017","14239","1"
"Australia","2016","Female","94","2017","11365","1"
"Australia","2016","Female","95","2017","8922","1"
"Australia","2016","Female","95 - 99","2017","23418","1"
"Australia","2016","Female","96","2017","6045","1"
"Australia","2016","Female","97","2017","3664","1"
"Australia","2016","Female","98","2017","2846","1"
"Australia","2016","Female","99","2017","1946","1"
"Australia","2016","Female","100 +","2017","2607","1"
"Australia","2016","Female","Total","2017","1161434","1"
"Australia","2016","Female","0","2017","10824","1"
"Australia","2016","Female","0 - 4","2017","61311","1"
"Australia","2016","Female","1","2017","11727","1"
"Australia","2016","Female","2","2017","12509","1"
"Australia","2016","Female","3","2017","12847","1"
"Australia","2016","Female","4","2017","13404","1"
"Australia","2016","Female","5","2017","13940","1"
"Australia","2016","Female","5 - 9","2017","75936","1"
"Australia","2016","Female","6","2017","14868","1"
"Australia","2016","Female","7","2017","15076","1"
"Australia","2016","Female","8","2017","15798","1"
"Australia","2016","Female","9","2017","16259","1"
"Australia","2016","Female","10","2017","16231","1"
"Australia","2016","Female","10 - 14","2017","78303","1"
"Australia","2016","Female","11","2017","15655","1"
"Australia","2016","Female","12","2017","15570","1"
"Australia","2016","Female","13","2017","15351","1"
"Australia","2016","Female","14","2017","15498","1"
"Australia","2016","Female","15","2017","15472","1"
"Australia","2016","Female","15 - 19","2017","70379","1"
"Australia","2016","Female","16","2017","15411","1"
"Australia","2016","Female","17","2017","15040","1"
"Australia","2016","Female","18","2017","13116","1"
"Australia","2016","Female","19","2017","11337","1"
"Australia","2016","Female","20","2017","10792","1"
"Australia","2016","Female","20 - 24","2017","51392","1"
"Australia","2016","Female","21","2017","10558","1"
"Australia","2016","Female","22","2017","9947","1"
"Australia","2016","Female","23","2017","10133","1"
"Australia","2016","Female","24","2017","9973","1"
"Australia","2016","Female","25","2017","10113","1"
"Australia","2016","Female","25 - 29","2017","50964","1"
"Australia","2016","Female","26","2017","10096","1"
"Australia","2016","Female","27","2017","10111","1"
"Australia","2016","Female","28","2017","10323","1"
"Australia","2016","Female","29","2017","10323","1"
"Australia","2016","Female","30","2017","11169","1"
"Australia","2016","Female","30 - 34","2017","58529","1"
"Australia","2016","Female","31","2017","11339","1"
"Australia","2016","Female","32","2017","11816","1"
"Australia","2016","Female","33","2017","11975","1"
"Australia","2016","Female","34","2017","12238","1"
"Australia","2016","Female","35","2017","12651","1"
"Australia","2016","Female","35 - 39","2017","63861","1"
"Australia","2016","Female","36","2017","12359","1"
"Australia","2016","Female","37","2017","12442","1"
"Australia","2016","Female","38","2017","13063","1"
"Australia","2016","Female","39","2017","13351","1"
"Australia","2016","Female","40","2017","14226","1"
"Australia","2016","Female","40 - 44","2017","79246","1"
"Australia","2016","Female","41","2017","14645","1"
"Australia","2016","Female","42","2017","15835","1"
"Australia","2016","Female","43","2017","16632","1"
"Australia","2016","Female","44","2017","17908","1"
"Australia","2016","Female","45","2017","18852","1"
"Australia","2016","Female","45 - 49","2017","90287","1"
"Australia","2016","Female","46","2017","17984","1"
"Australia","2016","Female","47","2017","18232","1"
"Australia","2016","Female","48","2017","17696","1"
"Australia","2016","Female","49","2017","17528","1"
"Australia","2016","Female","50","2017","18054","1"
"Australia","2016","Female","50 - 54","2017","95491","1"
"Australia","2016","Female","51","2017","18289","1"
"Australia","2016","Female","52","2017","19131","1"
"Australia","2016","Female","53","2017","19872","1"
"Australia","2016","Female","54","2017","20148","1"
"Australia","2016","Female","55","2017","20436","1"
"Australia","2016","Female","55 - 59","2017","97653","1"
"Australia","2016","Female","56","2017","19861","1"
"Australia","2016","Female","57","2017","19562","1"
"Australia","2016","Female","58","2017","18919","1"
"Australia","2016","Female","59","2017","18877","1"
"Australia","2016","Female","60","2017","18504","1"
"Australia","2016","Female","60 - 64","2017","88698","1"
"Australia","2016","Female","61","2017","18152","1"
"Australia","2016","Female","62","2017","17613","1"
"Australia","2016","Female","63","2017","17684","1"
"Australia","2016","Female","64","2017","16748","1"
"Australia","2016","Female","65","2017","16751","1"
"Australia","2016","Female","65 - 69","2017","78027","1"
"Australia","2016","Female","66","2017","16284","1"
"Australia","2016","Female","67","2017","15024","1"
"Australia","2016","Female","68","2017","14794","1"
"Australia","2016","Female","69","2017","15177","1"
"Australia","2016","Female","70","2017","12287","1"
"Australia","2016","Female","70 - 74","2017","53056","1"
"Australia","2016","Female","71","2017","11667","1"
"Australia","2016","Female","72","2017","10867","1"
"Australia","2016","Female","73","2017","9239","1"
"Australia","2016","Female","74","2017","8999","1"
"Australia","2016","Female","75","2017","7830","1"
"Australia","2016","Female","75 - 79","2017","32415","1"
"Australia","2016","Female","76","2017","7193","1"
"Australia","2016","Female","77","2017","6444","1"
"Australia","2016","Female","78","2017","5768","1"
"Australia","2016","Female","79","2017","5172","1"
"Australia","2016","Female","80","2017","4607","1"
"Australia","2016","Female","80 - 84","2017","18775","1"
"Australia","2016","Female","81","2017","4035","1"
"Australia","2016","Female","82","2017","3726","1"
"Australia","2016","Female","83","2017","3357","1"
"Australia","2016","Female","84","2017","3053","1"
"Australia","2016","Female","85","2017","2834","1"
"Australia","2016","Female","85 - 89","2017","11073","1"
"Australia","2016","Female","86","2017","2514","1"
"Australia","2016","Female","87","2017","2196","1"
"Australia","2016","Female","88","2017","1837","1"
"Australia","2016","Female","89","2017","1684","1"
"Australia","2016","Female","90","2017","1349","1"
"Australia","2016","Female","90 - 94","2017","4616","1"
"Australia","2016","Female","91","2017","1122","1"
"Australia","2016","Female","92","2017","902","1"
"Australia","2016","Female","93","2017","701","1"
"Australia","2016","Female","94","2017","548","1"
"Australia","2016","Female","95","2017","431","1"
"Australia","2016","Female","95 - 99","2017","1247","1"
"Australia","2016","Female","96","2017","355","1"
"Australia","2016","Female","97","2017","191","1"
"Australia","2016","Female","98","2017","167","1"
"Australia","2016","Female","99","2017","106","1"
"Australia","2016","Female","100 +","2017","181","1"
"Australia","2015","Female","Total","2017","11950850","3"
"Australia","2015","Female","0","2017","147662","3"
"Australia","2015","Female","0 - 4","2017","749224","3"
"Australia","2015","Female","1","2016","149687",""
"Australia","2015","Female","1 - 4","2017","601562","3"
"Australia","2015","Female","2","2016","152702",""
"Australia","2015","Female","3","2016","152102",""
"Australia","2015","Female","4","2016","147071",""
"Australia","2015","Female","5","2016","149683",""
"Australia","2015","Female","5 - 9","2017","737213","3"
"Australia","2015","Female","6","2016","148806",""
"Australia","2015","Female","7","2016","147965",""
"Australia","2015","Female","8","2016","145437",""
"Australia","2015","Female","9","2016","145322",""
"Australia","2015","Female","10","2016","140502",""
