"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"MLT","","ALL","1984","0"
"TKM","","ALL","2010","1028"
"DNK","","ALL","1995","2305"
"BLR","","ALL","2004","6741"
"DNK","","ALL","2013","2206"
"RUS","","ALL","2015","27397"
"SWE","","ALL","2015","3653"
"ARM","","ALL","2010","627"
"DNK","","ALL","2006","2518"
"DNK","","ALL","1985","3118"
"POL","","ALL","2015","56"
"GEO","","ALL","2014","1048"
"NOR","","ALL","1996","2377"
"KGZ","","ALL","1994","3437"
"CZE","","ALL","1974","4887"
"TKM","","ALL","2001","1338"
"FIN","","ALL","1978","3731"
"BEL","","ALL","2002","2122"
"MDA","","ALL","1991","5800"
"RUS","","ALL","1998","226567"
"ITA","","ALL","2002","10604"
"ROU","","ALL","2015","6853"
"MLT","","ALL","2012","0"
"CZE","","ALL","2006","2315"
"ITA","","ALL","1988","12956"
"ARM","","ALL","2015","538"
"ITA","","ALL","1991","11527"
"ESP","","ALL","1996","7311"
"ITA","","ALL","2013","8183"
"HRV","","ALL","1986","2174"
"FRA","","ALL","1997","24247.25"
"LTU","","ALL","2006","896"
"LVA","","ALL","2006","1328"
"","CARINFONET","ALL","2000","15878"
"ISR","","ALL","2011","2269.5"
"","CARINFONET","ALL","2007","11017"
"SVN","","ALL","2001","696"
"","CIS","ALL","2009","116147"
"TJK","","ALL","2010","461"
"TJK","","ALL","2011","465"
"BGR","","ALL","2014","2540"
"ROU","","ALL","2011","10055"
"LVA","","ALL","1992","3308"
"","CIS","ALL","2007","192805"
"TJK","","ALL","2006","473"
"SVK","","ALL","1985","2226"
"ROU","","ALL","2008","14316"
"CZE","","ALL","2000","2944"
"SVK","","ALL","1986","2541"
"DEU","","ALL","2005","16412"
"RUS","","ALL","2008","111330"
"SWE","","ALL","2011","5828"
"ITA","","ALL","2010","9557"
"GRC","","ALL","2005","672"
"NLD","","ALL","2002","4418"
"GBR","","ALL","2010","41362"
"","NORDIC","ALL","1991","14102"
"MKD","","ALL","2001","414"
"MDA","","ALL","2013","1250"
"NOR","","ALL","1989","3415"
"CZE","","ALL","1978","3681"
"NOR","","ALL","2000","2596"
"NOR","","ALL","1999","2448"
"KAZ","","ALL","2010","3312"
"CZE","","ALL","1984","6429"
"BEL","","ALL","2004","2276"
"NOR","","ALL","2002","2225"
"ITA","","ALL","1993","11664"
"DEU","","ALL","2002","16709"
"UKR","","ALL","2007","14461"
"MLT","","ALL","2009","0"
"HUN","","ALL","2007","5293"
"FIN","","ALL","2012","1749"
"MNE","","ALL","1996","77"
"SVN","","ALL","1992","1122"
"SVN","","ALL","1998","864"
"","CARINFONET","ALL","1998","19585"
"SVK","","ALL","2013","621"
"PRT","","ALL","2014","1829"
"TJK","","ALL","2012","472"
"KAZ","","ALL","1991","28329"
"MLT","","ALL","1985","0"
"LVA","","ALL","1996","2563"
"LVA","","ALL","1999","1777"
"SVK","","ALL","2009","969"
